"version","direction","valid","invalid_reason","result","damaging_hits","bullets","hit_rate","arrival_lock","arrival_final_error_deg","retained_bias_deg","centered_from_drive","drive_samples","drive_mean_target_error_deg","drive_final_target_error_deg","log_file"
"v4","positive","True","valid","PARTIAL","24","30","0.8",,,,,"0","999","999","logs/drive_aim_v4_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_30_r1_20260902_144933.log"
"v4","positive","True","valid","PARTIAL","26","30","0.867",,,,,"0","999","999","logs/drive_aim_v4_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_30_r2_20260902_145122.log"
"v4","positive","True","valid","PARTIAL","27","30","0.9",,,,,"0","999","999","logs/drive_aim_v4_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r1_20260902_145027.log"
"v4","positive","True","valid","PARTIAL","22","30","0.733",,,,,"0","999","999","logs/drive_aim_v4_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r2_20260902_145216.log"
"v4b","positive","True","valid","PARTIAL","25","30","0.833",,,,,"21","38.8","66.7","logs/drive_aim_v4b_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_30_r1_20260902_145518.log"
"v4b","positive","True","valid","PARTIAL","27","30","0.9",,,,,"21","38.6","67","logs/drive_aim_v4b_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_30_r2_20260902_145706.log"
"v4b","positive","True","valid","PARTIAL","27","30","0.9",,,,,"21","28.5","25.2","logs/drive_aim_v4b_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r1_20260902_145611.log"
"v4b","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,,,,,"21","25.6","55.1","logs/drive_aim_v4b_positive_ab_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r2_20260902_145800.log"
"v4c","positive","False","turret did not settle at outpost bootstrap pose target=(-82.5,10.0) actual=(-137.6,10.0)",,,,,"false","55.1",,,"24","17.6","55.1","logs/drive_aim_v4c_positive_startup_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r1_20260902_150247.log"
"v4c","positive","True","valid","PARTIAL","25","30","0.833","true","0",,,"20","25","0","logs/drive_aim_v4c_positive_startup_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r2_20260902_150351.log"
"v4c","positive","True","valid","PARTIAL","25","30","0.833","true","0",,,"20","5.4","0","logs/drive_aim_v4c_positive_startup_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_30_r3_20260902_150445.log"
"v4c","positive","True","valid","PARTIAL","19","30","0.633","true","0.2",,,"24","22","0.2","logs/drive_aim_v4c_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r1_20260902_150704.log"
"v4c","positive","True","valid","PARTIAL","24","30","0.8","true","0.3",,,"24","36.8","0.3","logs/drive_aim_v4c_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r2_20260902_150801.log"
"v4c","positive","False","turret did not settle at outpost bootstrap pose target=(-81.8,10.0) actual=(-136.9,10.0)",,,,,"false","55.1",,,"20","36.8","55.1","logs/drive_aim_v4c_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r3_20260902_150858.log"
"v4d","positive","False","turret did not settle at outpost bootstrap pose target=(-81.8,10.0) actual=(-136.9,10.0)",,,,,"false","55.1",,,"20","36.8","55.1","logs/drive_aim_v4d_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r1_20260902_151320.log"
"v4d","positive","True","valid","PARTIAL","24","30","0.8","true","0.3",,,"24","36.4","0.3","logs/drive_aim_v4d_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r2_20260902_151421.log"
"v4d","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,"false","55.1",,,"21","17.2","55.1","logs/drive_aim_v4d_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r3_20260902_151519.log"
"v4d","positive","False","turret did not settle at outpost bootstrap pose target=(-81.8,10.0) actual=(-136.9,10.0)",,,,,"false","55",,,"20","36.1","55","logs/drive_aim_v4d_rel30_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_30_r4_20260902_151621.log"
"v4e","positive","True","valid","PARTIAL","21","30","0.7","true","0.3",,,"24","17.9","0.3","logs/drive_aim_v4e_rel30_pitch0_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_151926.log"
"v4e","positive","False","turret did not settle at outpost bootstrap pose target=(-81.6,10.0) actual=(-136.7,10.0)",,,,,"false","55.1",,,"20","16.4","55.1","logs/drive_aim_v4e_rel30_pitch0_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_152024.log"
"v4e","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,"false","55.1",,,"21","27.2","55.1","logs/drive_aim_v4e_rel30_pitch0_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_152126.log"
"v4e","positive","True","valid","PARTIAL","26","30","0.867","true","0.3",,,"24","25.9","0.3","logs/drive_aim_v4e_rel30_pitch0_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_152228.log"
"v4e","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,"false","55.1",,,"20","16.7","55.1","logs/drive_aim_v4e_rel30_pitch0_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_152325.log"
"v4f","positive","True","valid","PARTIAL","22","30","0.733","true","0",,,"24","25.5","0","logs/drive_aim_v4f_twostage_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_152554.log"
"v4f","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,"false","55.1",,,"20","17","55.1","logs/drive_aim_v4f_twostage_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_152652.log"
"v4f","positive","False","turret did not settle at outpost bootstrap pose target=(-81.5,10.0) actual=(-136.6,10.0)",,,,,"false","55.1",,,"20","27.5","55.1","logs/drive_aim_v4f_twostage_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_152756.log"
"v4f","positive","False","turret did not settle at outpost bootstrap pose target=(-81.7,10.0) actual=(-136.8,10.0)",,,,,"false","55.1",,,"20","29","55.1","logs/drive_aim_v4f_twostage_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_152900.log"
"v4f","positive","False","turret did not settle at outpost bootstrap pose target=(-81.8,10.0) actual=(-136.9,10.0)",,,,,"false","55",,,"20","26.5","55","logs/drive_aim_v4f_twostage_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_153003.log"
"v4g","positive","False","startup takeover gate never passed",,,,,"false","2.1",,,"24","20.4","2.1","logs/drive_aim_v4g_native_ai_off_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_153239.log"
"v4g","positive","False","startup takeover gate never passed",,,,,"false","6",,,"24","17.5","6","logs/drive_aim_v4g_native_ai_off_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_153347.log"
"v4g","positive","False","startup takeover gate never passed",,,,,"false","8.3",,,"21","19.2","8.3","logs/drive_aim_v4g_native_ai_off_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_153455.log"
"v4g","positive","False","startup takeover gate never passed",,,,,"false","3",,,"20","29.8","3","logs/drive_aim_v4g_native_ai_off_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_153601.log"
"v4g","positive","False","startup takeover gate never passed",,,,,"false","7.3",,,"24","24.9","7.3","logs/drive_aim_v4g_native_ai_off_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_153707.log"
"v4h","positive","False","startup takeover gate never passed",,,,,"false","8.1",,,"21","19.6","8.1","logs/drive_aim_v4h_ai_window_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_153945.log"
"v4h","positive","False","startup takeover gate never passed",,,,,"false","6.6",,,"24","20.1","6.6","logs/drive_aim_v4h_ai_window_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_154052.log"
"v4h","positive","False","startup takeover gate never passed",,,,,"false","8",,,"21","28.7","8","logs/drive_aim_v4h_ai_window_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_154158.log"
"v4h","positive","False","startup takeover gate never passed",,,,,"false","8",,,"21","29.4","8","logs/drive_aim_v4h_ai_window_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_154304.log"
"v4h","positive","False","startup takeover gate never passed",,,,,"false","7.6",,,"25","24.3","7.6","logs/drive_aim_v4h_ai_window_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_154410.log"
"v4i","positive","False","startup takeover gate never passed",,,,,"false","4.9",,,"25","31","4.9","logs/drive_aim_v4i_ai_window10_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_154651.log"
