"version","direction","rounds","valid_rounds","invalid_rounds","valid_shots","damaging_hits","pooled_hit_rate"
"v4","positive","4","4","0","120","99","0.825"
"v4b","positive","4","3","1","90","79","0.8778"
"v4c","positive","6","4","2","120","93","0.775"
"v4d","positive","4","1","3","30","24","0.8"
"v4e","positive","5","2","3","60","47","0.7833"
"v4f","positive","5","1","4","30","22","0.7333"
"v4g","positive","5","0","5",,,
"v4h","positive","5","0","5",,,
"v4i","positive","5","3","2","90","68","0.7556"
"v4j","positive","5","3","2","90","54","0.6"
"v4k","negative","3","2","1","60","46","0.7667"
"v4k","positive","5","5","0","150","106","0.7067"
"v4l","negative","5","3","2","90","51","0.5667"
"v4m","negative","5","2","3","60","53","0.8833"
"v4n","negative","5","3","2","90","74","0.8222"
"v4o","negative","5","2","3","60","46","0.7667"
"v4p","negative","5","4","1","120","87","0.725"
"v4q","negative","5","5","0","150","120","0.8"
"v4q","positive","5","5","0","150","108","0.72"
